185
2268.5 -276.0 509.307,61,stand,,,
99.5 387.5 461.672,28 135,stand,,,
516.713 -302.713 469.307,116 117,stand,,,
1071.71 -342.287 509.307,16 113 114,stand,,,
3049.5 444.5 509.307,64 65 78 105,stand,,,
989.5 839.5 445.631,46 47,stand,,,
1468.0 -312.5 544.625,110 111,stand,,,
262.5 238.5 461.578,50 52,stand,,,
2277.0 367.5 509.307,93,stand,,,
-786.0 184.0 386.807,175 176,stand,,,
1566.5 595.0 540.625,55 56,stand,,,
3060.5 13.5 509.307,64 65 78,stand,,,
-304.713 -35.2868 386.89,131 132 133 134,stand,,,
-1444.5 40.5 261.307,125 126,stand,,,
1777.21 621.287 509.307,18 37 38 43 57,stand,,,
2908.5 -272.5 509.307,60 61,stand,,,
943.213 -82.2132 509.307,3 113 114,stand,,,
1322.79 612.287 509.307,33 34 35 53,stand,,,
1809.5 157.5 505.807,14 37 38 91,stand,,,
514.5 573.5 461.307,29 30 31,stand,,,
1560.71 164.713 505.807,36 40,stand,,,
2168.0 -151.5 509.307,89 90 94,stand,,,
2830.0 -89.0 634.125,103,stand,,,
304.213 79.7868 606.425,142,stand,,,
716.713 448.287 571.457,147 148,stand,,,
-1019.81 402.317 375.497,26 129 176 183,stand,,,
-294.991 607.645 375.807,25 27 130,stand,,,
-189.135 665.303 375.807,26 28 131,stand,,,
56.3262 665.947 461.672,1 27 29 136,stand,,,
429.182 642.365 461.307,19 28 30 48,stand,,,
659.358 691.217 461.307,19 29 31 47,stand,,,
729.928 668.094 461.307,19 30 32,stand,,,
863.008 668.916 505.807,31 33,stand,,,
1105.77 710.423 509.307,17 32 34 39,stand,,,
1288.02 368.332 509.307,17 33 35 36 37 39 42 114,stand,,,
978.716 239.356 509.301,17 34 39 114 149,stand,,,
1565.09 345.644 509.293,20 34 37 42,stand,,,
1981.19 368.858 509.293,14 18 34 36 38 41 42 43 57 91,stand,,,
1928.41 -95.201 509.283,14 18 37 39 40 59 91,stand,,,
1295.36 -75.0082 509.307,33 34 35 38 40 114,stand,,,
1580.57 -55.9743 509.236,20 38 39,stand,,,
2167.43 460.961 509.293,37 42 43 57,stand,,,
2159.28 317.593 509.293,34 36 37 41 57,stand,,,
2158.18 706.561 509.287,14 37 41 44 86,stand,,,
2139.63 836.095 505.273,43 45,stand,,,
1689.69 839.551 505.273,44 46,stand,,,
1558.4 841.401 445.631,5 45,stand,,,
644.625 855.601 445.631,5 30,stand,,,
426.666 443.271 461.307,29 49,stand,,,
316.999 445.379 461.48,48 52 153,stand,,,
311.626 138.272 461.49,7 51 52 152,stand,,,
51.5615 128.5 461.672,50 119 134 135,stand,,,
324.554 295.826 461.463,7 49 50 153,stand,,,
1399.37 495.921 509.307,17 54,climb,3.18604 0.884399 0.0,,
1432.86 496.594 566.625,53 55,climb,11.7334 1.89514 0.0,,
1523.92 511.089 540.625,10 54 56,stand,,,
1621.05 500.077 540.625,10 55 58,stand,,,
1725.63 492.97 509.307,14 37 41 42 58,climb,8.98132 178.511 0.0,,
1693.97 493.672 566.625,56 57,climb,10.7227 178.654 0.0,,
1922.51 -396.698 509.307,38 60 61 91 107,stand,,,
2981.07 -392.363 509.307,15 59 61 62,stand,,,
2576.8 -354.711 509.307,0 15 59 60,stand,,,
3162.76 -388.525 509.307,60 63 64 65 76,stand,,,
3194.37 662.577 509.307,62 64 65 74 86,stand,,,
3129.18 305.005 509.307,4 11 62 63 65 67 78 105,stand,,,
3144.86 -18.311 509.307,4 11 62 63 64 66,stand,,,
3739.23 -27.3673 509.307,65 67 68 75,stand,,,
3739.58 324.694 509.307,64 66 72 77,stand,,,
3928.06 -159.974 509.307,66 69 75,stand,,,
4208.66 142.605 509.307,68 70 71 72,stand,,,
4000.72 15.569 509.307,69,stand,,,
3998.87 281.893 509.307,69,stand,,,
3878.08 437.449 509.307,67 69 77,stand,,,
3588.04 611.294 509.307,74 77,stand,,,
3378.11 676.808 509.307,63 73,stand,,,
3701.07 -267.358 509.307,66 68 76,stand,,,
3433.13 -384.874 509.307,62 75,stand,,,
3714.81 531.466 509.257,67 72 73,stand,,,
2996.75 154.671 509.307,4 11 64 79,stand,,,
2851.8 165.069 509.307,78 80 82,stand,,,
2832.25 -72.0607 509.307,79 81 88,stand,,,
2594.65 42.1275 509.307,80 82 89 92,stand,,,
2671.57 202.445 509.307,79 81 83 87,stand,,,
2673.26 312.419 509.307,82 84,stand,,,
2763.38 382.842 509.307,83 85 171,stand,,,
2703.6 509.488 509.307,84 86,stand,,,
2704.11 657.613 509.307,43 63 85,stand,,,
2680.71 -169.124 509.307,82 88,stand,,,
2782.36 -206.111 509.307,80 87,stand,,,
2331.37 -102.051 509.307,21 81 90 94,stand,,,
2169.77 113.813 509.307,21 89 91 92 93,stand,,,
2008.92 102.141 509.307,18 37 38 59 90,stand,,,
2393.82 202.505 509.304,81 90 93,stand,,,
2277.66 245.266 509.304,8 90 92,stand,,,
2353.59 -202.794 509.304,21 89 95,stand,,,
2594.95 -194.408 634.125,94 96,stand,,,
2648.21 -192.139 634.125,95 97,stand,,,
2648.15 -8.37027 634.125,96 98 102 103,stand,,,
2435.35 -15.4766 634.125,97 99,stand,,,
2298.35 130.185 634.125,98 100 101,stand,,,
2184.37 151.538 644.625,99,stand,,,
2484.78 188.287 634.125,99 102,stand,,,
2582.45 242.444 634.125,97 101,stand,,,
2826.85 -14.7944 634.125,22 97 104,stand,,,
2756.08 412.596 634.125,103 106,stand,,,
2937.04 410.587 509.307,4 64 106,climb,14.3427 -170.843 0.0,,
2908.74 405.433 634.125,104 105,climb,-0.862427 -165.487 0.0,,
1861.05 -415.406 509.307,59 108,stand,,,
1740.44 -409.223 526.625,107 109,stand,,,
1738.22 -271.662 526.625,108 110,stand,,,
1637.8 -258.421 544.625,6 109 111,stand,,,
1277.9 -263.048 544.625,6 110 112,stand,,,
1167.46 -410.283 526.625,111 113,stand,,,
1020.99 -421.0 509.307,3 16 112 114 115,stand,,,
1131.59 -71.4846 509.307,3 16 34 35 39 113,stand,,,
777.01 -395.495 509.432,113 116,stand,,,
687.475 -399.296 469.307,2 115 117,stand,,,
235.089 -389.923 469.307,2 116 118,stand,,,
70.3404 -378.758 461.672,117 119 120,stand,,,
58.0411 -38.1176 461.672,51 118,stand,,,
11.816 -419.281 462.613,118 121,stand,,,
-193.078 -396.94 375.807,120 122 132,stand,,,
-682.095 -207.122 375.807,121 123 133 175,stand,,,
-1056.16 -158.077 375.061,122 124 175 181,stand,,,
-1211.43 -147.367 305.307,123 125,stand,,,
-1313.53 -26.3119 305.307,13 124 184,stand,,,
-1445.74 218.192 261.307,13 128,stand,,,
-1220.53 352.221 305.307,128 129,stand,,,
-1316.7 291.543 305.26,126 127 184,stand,,,
-1195.86 416.76 305.307,25 127,stand,,,
-399.464 380.318 375.789,26 131 133 134,stand,,,
-389.817 109.202 379.427,12 27 130 132 133 134 177,stand,,,
-316.519 -215.962 369.307,12 121 131 133,stand,,,
-568.43 23.126 386.688,12 122 130 131 132 177,stand,,,
-214.494 129.918 386.675,12 51 130 131 177,stand,,,
28.7522 322.056 463.778,1 51,stand,,,
63.8691 471.017 461.672,28 137,stand,,,
174.975 466.17 461.672,136 138,climb,12.1222 -2.12585 0.0,,
200.223 420.635 606.425,137 139,climb,58.0505 1.2085 0.0,,
157.789 301.357 606.425,138 140 141,stand,,,
290.18 283.094 606.425,139,stand,,,
180.747 -17.1306 606.425,139 142,stand,,,
508.446 -53.7157 606.425,23 141 143,stand,,,
664.952 -42.0618 676.425,142 144,stand,,,
904.352 32.0608 676.425,143 145 146,stand,,,
940.318 264.371 676.425,144 146,stand,,,
876.791 270.038 676.425,144 145 147,stand,,,
864.987 450.024 676.425,24 146,stand,,,
700.029 264.633 518.844,24 149,stand,,,
812.831 226.358 518.843,35 148 150,stand,,,
716.872 -1.23152 518.843,149 151,stand,,,
632.239 -91.3566 515.92,150 152,stand,,,
520.797 -81.9268 461.307,50 151,stand,,,
338.361 366.517 461.441,49 52 174,stand,,,
810.239 396.666 303.13,155 172,stand,,,
815.239 71.5517 303.13,154 156,stand,,,
1136.5 73.0781 303.13,155 157,stand,,,
1274.9 73.1863 303.13,156 158,stand,,,
1312.49 164.338 303.13,157 159 161,stand,,,
1320.46 435.726 303.13,158 160 163,stand,,,
1715.24 405.405 303.13,159 161 165,stand,,,
1692.64 172.796 303.13,158 160 164 165,stand,,,
1500.82 305.157 303.13,163 164,stand,,,
1500.42 465.014 303.13,159 162,stand,,,
1492.15 138.713 303.074,161 162,stand,,,
1732.44 285.133 303.005,160 161 166,stand,,,
1799.9 291.221 336.13,165 167,stand,,,
1979.3 377.702 336.13,166 168,stand,,,
2302.68 383.458 336.13,167 169,stand,,,
2572.78 382.186 397.07,168 170,stand,,,
2643.37 378.282 400.13,169 171,climb,9.65576 -0.736084 0.0,,
2655.56 378.303 508.125,84 170,climb,20.8124 1.29089 0.0,,
603.415 398.822 303.13,154 173,stand,,,
439.625 373.719 303.13,172 174,climb,3.42651 -177.352 0.0,,
412.915 374.525 461.302,153 173,climb,17.0496 179.028 0.0,,
-781.932 -66.4128 386.807,9 122 123,stand,,,
-780.038 317.202 386.807,9 25 177,stand,,,
-627.737 326.74 386.798,131 133 134 176,stand,,,
-1098.48 219.702 377.125,179 182,stand,,,
-1081.79 38.2532 377.125,178 180,stand,,,
-1078.93 -2.08328 412.625,179 181,stand,,,
-1062.44 -68.4849 386.807,123 180,stand,,,
-1077.9 268.073 412.625,178 183,stand,,,
-1087.78 305.776 386.807,25 182,stand,,,
-1290.1 125.613 305.307,125 128,stand,,,
